,org,new
0,SRR3632470_1.fastq,BRx-111_single_1_1.fastq
1,SRR3632471_1.fastq,BRx-111_single_2_1.fastq
2,SRR3632472_1.fastq,BRx-111_single_3_1.fastq
3,SRR3632473_1.fastq,BRx-111_single_4_1.fastq
4,SRR3632474_1.fastq,BRx-111_single_5_1.fastq
5,SRR3632475_1.fastq,BRx-111_single_6_1.fastq
6,SRR3632476_1.fastq,BRx-111_single_7_1.fastq
7,SRR3632477_1.fastq,BRx-111_single_8_1.fastq
8,SRR3632478_1.fastq,BRx-129_single_1_1.fastq
9,SRR3632479_1.fastq,BRx-129_single_2_1.fastq
10,SRR3632480_1.fastq,BRx-129_single_3_1.fastq
11,SRR3632481_1.fastq,BRx-129_single_4_1.fastq
12,SRR3632482_1.fastq,BRx-131_single_1_1.fastq
13,SRR3632483_1.fastq,BRx-131_single_2_1.fastq
14,SRR3632484_1.fastq,BRx-132_single_1_1.fastq
15,SRR3632485_1.fastq,BRx-132_single_2_1.fastq
16,SRR3632486_1.fastq,BRx-136_single_1_1.fastq
17,SRR3632487_1.fastq,BRx-136_single_2_1.fastq
18,SRR3632488_1.fastq,BRx-136_single_3_1.fastq
19,SRR3632489_1.fastq,BRx-136_single_4_1.fastq
20,SRR3632490_1.fastq,BRx-139_single_1_1.fastq
21,SRR3632491_1.fastq,BRx-139_single_2_1.fastq
22,SRR3632492_1.fastq,BRx-146_single_1_1.fastq
23,SRR3632493_1.fastq,BRx-146_single_2_1.fastq
24,SRR3632494_1.fastq,BRx-146_single_3_1.fastq
25,SRR3632495_1.fastq,BRx-146_single_4_1.fastq
26,SRR3632496_1.fastq,BRx-16_single_1_1.fastq
27,SRR3632497_1.fastq,BRx-16_single_2_1.fastq
28,SRR3632498_1.fastq,BRx-16_single_3_1.fastq
29,SRR3632499_1.fastq,BRx-16_single_4_1.fastq
30,SRR3632500_1.fastq,BRx-16_single_5_1.fastq
31,SRR3632501_1.fastq,BRx-16_single_6_1.fastq
32,SRR3632502_1.fastq,BRx-16_single_7_1.fastq
33,SRR3632503_1.fastq,BRx-16_single_8_1.fastq
34,SRR3632504_1.fastq,BRx-16_single_9_1.fastq
35,SRR3632505_1.fastq,BRx-16_single_10_1.fastq
36,SRR3632506_1.fastq,BRx-16_single_11_1.fastq
37,SRR3632507_1.fastq,BRx-16_single_12_1.fastq
38,SRR3632508_1.fastq,BRx-16_single_13_1.fastq
39,SRR3632509_1.fastq,BRx-16_single_14_1.fastq
40,SRR3632510_1.fastq,BRx-170_single_1_1.fastq
41,SRR3632511_1.fastq,BRx-170_single_2_1.fastq
42,SRR3632512_1.fastq,BRx-170_single_3_1.fastq
43,SRR3632513_1.fastq,BRx-170_single_4_1.fastq
44,SRR3632514_1.fastq,BRx-172_single_1_1.fastq
45,SRR3632515_1.fastq,BRx-172_single_2_1.fastq
46,SRR3632516_1.fastq,BRx-172_single_3_1.fastq
47,SRR3632517_1.fastq,BRx-172_single_4_1.fastq
48,SRR3632518_1.fastq,BRx-172_single_5_1.fastq
49,SRR3632519_1.fastq,BRx-172_single_6_1.fastq
50,SRR3632520_1.fastq,BRx-172_single_7_1.fastq
51,SRR3632521_1.fastq,BRx-172_single_8_1.fastq
52,SRR3632522_1.fastq,BRx-172_single_9_1.fastq
53,SRR3632523_1.fastq,BRx-172_single_10_1.fastq
54,SRR3632524_1.fastq,BRx-172_single_11_1.fastq
55,SRR3632525_1.fastq,BRx-172_single_12_1.fastq
56,SRR3632526_1.fastq,BRx-172_single_13_1.fastq
57,SRR3632527_1.fastq,BRx-172_single_14_1.fastq
58,SRR3632528_1.fastq,BRx-172_single_15_1.fastq
59,SRR3632529_1.fastq,BRx-172_single_16_1.fastq
60,SRR3632530_1.fastq,BRx-172_single_17_1.fastq
61,SRR3632531_1.fastq,BRx-172_single_18_1.fastq
62,SRR3632532_1.fastq,BRx-172_single_19_1.fastq
63,SRR3632533_1.fastq,BRx-172_single_20_1.fastq
64,SRR3632534_1.fastq,BRx-172_single_21_1.fastq
65,SRR3632535_1.fastq,BRx-172_single_22_1.fastq
66,SRR3632536_1.fastq,BRx-172_single_23_1.fastq
67,SRR3632537_1.fastq,BRx-172_single_24_1.fastq
68,SRR3632538_1.fastq,BRx-172_single_25_1.fastq
69,SRR3632539_1.fastq,BRx-172_single_26_1.fastq
70,SRR3632540_1.fastq,BRx-172_single_27_1.fastq
71,SRR3632541_1.fastq,BRx-172_single_28_1.fastq
72,SRR3632542_1.fastq,BRx-172_single_29_1.fastq
73,SRR3632543_1.fastq,BRx-172_single_30_1.fastq
74,SRR3632544_1.fastq,BRx-180_single_1_1.fastq
75,SRR3632545_1.fastq,BRx-180_single_2_1.fastq
76,SRR3632546_1.fastq,BRx-180_single_3_1.fastq
77,SRR3632547_1.fastq,BRx-180_single_4_1.fastq
78,SRR3632548_1.fastq,BRx-183_single_1_1.fastq
79,SRR3632549_1.fastq,BRx-183_single_2_1.fastq
80,SRR3632550_1.fastq,BRx-183_single_3_1.fastq
81,SRR3632551_1.fastq,BRx-183_single_4_1.fastq
82,SRR3632552_1.fastq,BRx-183_single_5_1.fastq
83,SRR3632553_1.fastq,BRx-183_single_6_1.fastq
84,SRR3632554_1.fastq,BRx-183_single_7_1.fastq
85,SRR3632555_1.fastq,BRx-183_single_8_1.fastq
86,SRR3632556_1.fastq,BRx-183_single_9_1.fastq
87,SRR3632557_1.fastq,BRx-183_single_10_1.fastq
88,SRR3632558_1.fastq,BRx-183_single_11_1.fastq
89,SRR3632559_1.fastq,BRx-183_single_12_1.fastq
90,SRR3632560_1.fastq,BRx-183_single_13_1.fastq
91,SRR3632561_1.fastq,BRx-183_single_14_1.fastq
92,SRR3632562_1.fastq,BRx-213_single_1_1.fastq
93,SRR3632563_1.fastq,BRx-213_single_2_1.fastq
94,SRR3632564_1.fastq,BRx-213_single_3_1.fastq
95,SRR3632565_1.fastq,BRx-213_single_4_1.fastq
96,SRR3632566_1.fastq,BRx-245_single_1_1.fastq
97,SRR3632567_1.fastq,BRx-245_single_2_1.fastq
98,SRR2959899_1.fastq,BRx-42_single_1_1.fastq
99,SRR2959900_1.fastq,BRx-42_single_2_1.fastq
100,SRR2959901_1.fastq,BRx-42_single_3_1.fastq
101,SRR2959902_1.fastq,BRx-42_single_4_1.fastq
102,SRR2959903_1.fastq,BRx-42_single_5_1.fastq
103,SRR2959904_1.fastq,BRx-42_single_6_1.fastq
104,SRR2959905_1.fastq,BRx-42_single_7_1.fastq
105,SRR2959906_1.fastq,BRx-42_single_8_1.fastq
106,SRR2959907_1.fastq,BRx-42_single_9_1.fastq
107,SRR2959908_1.fastq,BRx-42_single_10_1.fastq
108,SRR2959909_1.fastq,BRx-42_single_11_1.fastq
109,SRR2959910_1.fastq,BRx-42_single_12_1.fastq
110,SRR2959911_1.fastq,BRx-42_single_13_1.fastq
111,SRR2959912_1.fastq,BRx-42_single_14_1.fastq
112,SRR2959913_1.fastq,BRx-82_single_1_1.fastq
113,SRR2959914_1.fastq,BRx-82_single_2_1.fastq
114,SRR2959915_1.fastq,BRx-82_single_3_1.fastq
115,SRR2959916_1.fastq,BRx-82_single_4_1.fastq
116,SRR2959917_1.fastq,BRx-82_single_5_1.fastq
117,SRR2959918_1.fastq,BRx-82_single_6_1.fastq
118,SRR2959919_1.fastq,BRx-82_single_7_1.fastq
119,SRR2959920_1.fastq,BRx-82_single_8_1.fastq
120,SRR2959921_1.fastq,BRx-82_single_9_1.fastq
121,SRR2959922_1.fastq,BRx-82_single_10_1.fastq
122,SRR2959923_1.fastq,BRx-42_single_15_1.fastq
123,SRR2959924_1.fastq,BRx-42_single_16_1.fastq
124,SRR2959925_1.fastq,BRx-42_single_17_1.fastq
125,SRR2959926_1.fastq,BRx-42_single_18_1.fastq
126,SRR2959927_1.fastq,BRx-82_single_11_1.fastq
127,SRR2959928_1.fastq,BRx-82_single_12_1.fastq
128,SRR2959929_1.fastq,BRx-82_single_13_1.fastq
129,SRR2959930_1.fastq,BRx-82_single_14_1.fastq
130,SRR2959931_1.fastq,BRx-82_single_15_1.fastq
131,SRR2959932_1.fastq,BRx-82_single_16_1.fastq
132,SRR2959933_1.fastq,BRx-82_single_17_1.fastq
133,SRR2959934_1.fastq,BRx-82_single_18_1.fastq
134,SRR2959935_1.fastq,BRx-82_single_19_1.fastq
135,SRR2959936_1.fastq,BRx-82_single_20_1.fastq
136,SRR2959937_1.fastq,BRx-82_single_21_1.fastq
137,SRR2959938_1.fastq,BRx-82_single_22_1.fastq
138,SRR2959939_1.fastq,BRx-82_single_23_1.fastq
139,SRR2959940_1.fastq,BRx-82_single_24_1.fastq
140,SRR2959941_1.fastq,BRx-82_single_25_1.fastq
141,SRR2959942_1.fastq,BRx-82_single_26_1.fastq
142,SRR2959943_1.fastq,BRx-82_single_27_1.fastq
143,SRR2959944_1.fastq,BRx-82_single_28_1.fastq
144,SRR2959945_1.fastq,BRx-82_single_29_1.fastq
145,SRR2959946_1.fastq,BRx-82_single_30_1.fastq
146,SRR2959947_1.fastq,BRx-82_single_31_1.fastq
147,SRR2959948_1.fastq,BRx-82_single_32_1.fastq
0,SRR3632470_2.fastq,BRx-111_single_1_2.fastq
1,SRR3632471_2.fastq,BRx-111_single_2_2.fastq
2,SRR3632472_2.fastq,BRx-111_single_3_2.fastq
3,SRR3632473_2.fastq,BRx-111_single_4_2.fastq
4,SRR3632474_2.fastq,BRx-111_single_5_2.fastq
5,SRR3632475_2.fastq,BRx-111_single_6_2.fastq
6,SRR3632476_2.fastq,BRx-111_single_7_2.fastq
7,SRR3632477_2.fastq,BRx-111_single_8_2.fastq
8,SRR3632478_2.fastq,BRx-129_single_1_2.fastq
9,SRR3632479_2.fastq,BRx-129_single_2_2.fastq
10,SRR3632480_2.fastq,BRx-129_single_3_2.fastq
11,SRR3632481_2.fastq,BRx-129_single_4_2.fastq
12,SRR3632482_2.fastq,BRx-131_single_1_2.fastq
13,SRR3632483_2.fastq,BRx-131_single_2_2.fastq
14,SRR3632484_2.fastq,BRx-132_single_1_2.fastq
15,SRR3632485_2.fastq,BRx-132_single_2_2.fastq
16,SRR3632486_2.fastq,BRx-136_single_1_2.fastq
17,SRR3632487_2.fastq,BRx-136_single_2_2.fastq
18,SRR3632488_2.fastq,BRx-136_single_3_2.fastq
19,SRR3632489_2.fastq,BRx-136_single_4_2.fastq
20,SRR3632490_2.fastq,BRx-139_single_1_2.fastq
21,SRR3632491_2.fastq,BRx-139_single_2_2.fastq
22,SRR3632492_2.fastq,BRx-146_single_1_2.fastq
23,SRR3632493_2.fastq,BRx-146_single_2_2.fastq
24,SRR3632494_2.fastq,BRx-146_single_3_2.fastq
25,SRR3632495_2.fastq,BRx-146_single_4_2.fastq
26,SRR3632496_2.fastq,BRx-16_single_1_2.fastq
27,SRR3632497_2.fastq,BRx-16_single_2_2.fastq
28,SRR3632498_2.fastq,BRx-16_single_3_2.fastq
29,SRR3632499_2.fastq,BRx-16_single_4_2.fastq
30,SRR3632500_2.fastq,BRx-16_single_5_2.fastq
31,SRR3632501_2.fastq,BRx-16_single_6_2.fastq
32,SRR3632502_2.fastq,BRx-16_single_7_2.fastq
33,SRR3632503_2.fastq,BRx-16_single_8_2.fastq
34,SRR3632504_2.fastq,BRx-16_single_9_2.fastq
35,SRR3632505_2.fastq,BRx-16_single_10_2.fastq
36,SRR3632506_2.fastq,BRx-16_single_11_2.fastq
37,SRR3632507_2.fastq,BRx-16_single_12_2.fastq
38,SRR3632508_2.fastq,BRx-16_single_13_2.fastq
39,SRR3632509_2.fastq,BRx-16_single_14_2.fastq
40,SRR3632510_2.fastq,BRx-170_single_1_2.fastq
41,SRR3632511_2.fastq,BRx-170_single_2_2.fastq
42,SRR3632512_2.fastq,BRx-170_single_3_2.fastq
43,SRR3632513_2.fastq,BRx-170_single_4_2.fastq
44,SRR3632514_2.fastq,BRx-172_single_1_2.fastq
45,SRR3632515_2.fastq,BRx-172_single_2_2.fastq
46,SRR3632516_2.fastq,BRx-172_single_3_2.fastq
47,SRR3632517_2.fastq,BRx-172_single_4_2.fastq
48,SRR3632518_2.fastq,BRx-172_single_5_2.fastq
49,SRR3632519_2.fastq,BRx-172_single_6_2.fastq
50,SRR3632520_2.fastq,BRx-172_single_7_2.fastq
51,SRR3632521_2.fastq,BRx-172_single_8_2.fastq
52,SRR3632522_2.fastq,BRx-172_single_9_2.fastq
53,SRR3632523_2.fastq,BRx-172_single_10_2.fastq
54,SRR3632524_2.fastq,BRx-172_single_11_2.fastq
55,SRR3632525_2.fastq,BRx-172_single_12_2.fastq
56,SRR3632526_2.fastq,BRx-172_single_13_2.fastq
57,SRR3632527_2.fastq,BRx-172_single_14_2.fastq
58,SRR3632528_2.fastq,BRx-172_single_15_2.fastq
59,SRR3632529_2.fastq,BRx-172_single_16_2.fastq
60,SRR3632530_2.fastq,BRx-172_single_17_2.fastq
61,SRR3632531_2.fastq,BRx-172_single_18_2.fastq
62,SRR3632532_2.fastq,BRx-172_single_19_2.fastq
63,SRR3632533_2.fastq,BRx-172_single_20_2.fastq
64,SRR3632534_2.fastq,BRx-172_single_21_2.fastq
65,SRR3632535_2.fastq,BRx-172_single_22_2.fastq
66,SRR3632536_2.fastq,BRx-172_single_23_2.fastq
67,SRR3632537_2.fastq,BRx-172_single_24_2.fastq
68,SRR3632538_2.fastq,BRx-172_single_25_2.fastq
69,SRR3632539_2.fastq,BRx-172_single_26_2.fastq
70,SRR3632540_2.fastq,BRx-172_single_27_2.fastq
71,SRR3632541_2.fastq,BRx-172_single_28_2.fastq
72,SRR3632542_2.fastq,BRx-172_single_29_2.fastq
73,SRR3632543_2.fastq,BRx-172_single_30_2.fastq
74,SRR3632544_2.fastq,BRx-180_single_1_2.fastq
75,SRR3632545_2.fastq,BRx-180_single_2_2.fastq
76,SRR3632546_2.fastq,BRx-180_single_3_2.fastq
77,SRR3632547_2.fastq,BRx-180_single_4_2.fastq
78,SRR3632548_2.fastq,BRx-183_single_1_2.fastq
79,SRR3632549_2.fastq,BRx-183_single_2_2.fastq
80,SRR3632550_2.fastq,BRx-183_single_3_2.fastq
81,SRR3632551_2.fastq,BRx-183_single_4_2.fastq
82,SRR3632552_2.fastq,BRx-183_single_5_2.fastq
83,SRR3632553_2.fastq,BRx-183_single_6_2.fastq
84,SRR3632554_2.fastq,BRx-183_single_7_2.fastq
85,SRR3632555_2.fastq,BRx-183_single_8_2.fastq
86,SRR3632556_2.fastq,BRx-183_single_9_2.fastq
87,SRR3632557_2.fastq,BRx-183_single_10_2.fastq
88,SRR3632558_2.fastq,BRx-183_single_11_2.fastq
89,SRR3632559_2.fastq,BRx-183_single_12_2.fastq
90,SRR3632560_2.fastq,BRx-183_single_13_2.fastq
91,SRR3632561_2.fastq,BRx-183_single_14_2.fastq
92,SRR3632562_2.fastq,BRx-213_single_1_2.fastq
93,SRR3632563_2.fastq,BRx-213_single_2_2.fastq
94,SRR3632564_2.fastq,BRx-213_single_3_2.fastq
95,SRR3632565_2.fastq,BRx-213_single_4_2.fastq
96,SRR3632566_2.fastq,BRx-245_single_1_2.fastq
97,SRR3632567_2.fastq,BRx-245_single_2_2.fastq
98,SRR2959899_2.fastq,BRx-42_single_1_2.fastq
99,SRR2959900_2.fastq,BRx-42_single_2_2.fastq
100,SRR2959901_2.fastq,BRx-42_single_3_2.fastq
101,SRR2959902_2.fastq,BRx-42_single_4_2.fastq
102,SRR2959903_2.fastq,BRx-42_single_5_2.fastq
103,SRR2959904_2.fastq,BRx-42_single_6_2.fastq
104,SRR2959905_2.fastq,BRx-42_single_7_2.fastq
105,SRR2959906_2.fastq,BRx-42_single_8_2.fastq
106,SRR2959907_2.fastq,BRx-42_single_9_2.fastq
107,SRR2959908_2.fastq,BRx-42_single_10_2.fastq
108,SRR2959909_2.fastq,BRx-42_single_11_2.fastq
109,SRR2959910_2.fastq,BRx-42_single_12_2.fastq
110,SRR2959911_2.fastq,BRx-42_single_13_2.fastq
111,SRR2959912_2.fastq,BRx-42_single_14_2.fastq
112,SRR2959913_2.fastq,BRx-82_single_1_2.fastq
113,SRR2959914_2.fastq,BRx-82_single_2_2.fastq
114,SRR2959915_2.fastq,BRx-82_single_3_2.fastq
115,SRR2959916_2.fastq,BRx-82_single_4_2.fastq
116,SRR2959917_2.fastq,BRx-82_single_5_2.fastq
117,SRR2959918_2.fastq,BRx-82_single_6_2.fastq
118,SRR2959919_2.fastq,BRx-82_single_7_2.fastq
119,SRR2959920_2.fastq,BRx-82_single_8_2.fastq
120,SRR2959921_2.fastq,BRx-82_single_9_2.fastq
121,SRR2959922_2.fastq,BRx-82_single_10_2.fastq
122,SRR2959923_2.fastq,BRx-42_single_15_2.fastq
123,SRR2959924_2.fastq,BRx-42_single_16_2.fastq
124,SRR2959925_2.fastq,BRx-42_single_17_2.fastq
125,SRR2959926_2.fastq,BRx-42_single_18_2.fastq
126,SRR2959927_2.fastq,BRx-82_single_11_2.fastq
127,SRR2959928_2.fastq,BRx-82_single_12_2.fastq
128,SRR2959929_2.fastq,BRx-82_single_13_2.fastq
129,SRR2959930_2.fastq,BRx-82_single_14_2.fastq
130,SRR2959931_2.fastq,BRx-82_single_15_2.fastq
131,SRR2959932_2.fastq,BRx-82_single_16_2.fastq
132,SRR2959933_2.fastq,BRx-82_single_17_2.fastq
133,SRR2959934_2.fastq,BRx-82_single_18_2.fastq
134,SRR2959935_2.fastq,BRx-82_single_19_2.fastq
135,SRR2959936_2.fastq,BRx-82_single_20_2.fastq
136,SRR2959937_2.fastq,BRx-82_single_21_2.fastq
137,SRR2959938_2.fastq,BRx-82_single_22_2.fastq
138,SRR2959939_2.fastq,BRx-82_single_23_2.fastq
139,SRR2959940_2.fastq,BRx-82_single_24_2.fastq
140,SRR2959941_2.fastq,BRx-82_single_25_2.fastq
141,SRR2959942_2.fastq,BRx-82_single_26_2.fastq
142,SRR2959943_2.fastq,BRx-82_single_27_2.fastq
143,SRR2959944_2.fastq,BRx-82_single_28_2.fastq
144,SRR2959945_2.fastq,BRx-82_single_29_2.fastq
145,SRR2959946_2.fastq,BRx-82_single_30_2.fastq
146,SRR2959947_2.fastq,BRx-82_single_31_2.fastq
147,SRR2959948_2.fastq,BRx-82_single_32_2.fastq
